VAR00001,VAR00002,VAR00003,VAR00004,VAR00005,VAR00006,VAR00007,VAR00008,VAR00009,VAR00010,VAR00011,VAR00012,VAR00013,VAR00014,VAR00015,VAR00016,VAR00017,VAR00018,VAR00019,VAR00020,VAR00021,VAR00022,VAR00023,VAR00024,VAR00025,VAR00026,VAR00027,VAR00028,VAR00029,VAR00030,VAR00031,VAR00032,VAR00033,VAR00034,VAR00035,VAR00036,VAR00037,VAR00038,VAR00039,VAR00040,VAR00041,VAR00042,VAR00043,VAR00044,VAR00045,VAR00046,VAR00047,VAR00048,VAR00049,VAR00050,VAR00051,VAR00052,VAR00053
1,69.80007676,10.7542928,26.58860097,-11.96471345,18.63360609,-11.56818551,7.678724401,9.558110959,-2.156555492,10.65868092,-8.468099533,-11.40897803,-5.429086251,-7.915645421,-7.944163344,-5.095483099,2.451850606,1.70031168,-1.752239413,-4.948560028,6.874474908,5.807956165,-.912608002,-5.558032164,2.578774233,7.819216976,.431438219,2.551275391,1.036421166,-.387780745,-3.646785825,4.502377754,.305595213,-2.87948374,-3.189276692,-4.996360944,-5.007089477,-1.184399,.34856966,-.183017876,-3.404433726,-.012549012,1.912151278,-2.887365012,-.378340042,-.132764907,-2.643080366,1.862022356,2.977109025,-.042332052,.087190536,2.233714895
1,2.485887115,-17.24709198,10.2384041,18.60124321,3.494112665,2.035874746,5.888052893,5.768361088,-.597851926,1.614698945,-1.906445896,16.77113277,.710912467,2.504676248,-.689486386,5.976682025,2.731444014,4.538973711,1.893441687,.434231912,-2.640658206,-1.341604864,-5.666858588,5.366818124,-2.606793411,1.992352773,6.554816357,-1.365762929,2.564007088,2.258739491,2.382397378,6.568262493,1.143988148,-1.058963928,1.328696246,2.645579493,.545451578,-2.355429903,3.636145993,1.492852888,-2.097054986,4.898379819,-1.399875277,-1.562103721,.895277409,-2.739646625,-1.723665428,.010094357,3.735986645,-.148361044,.981162869,-2.665976438
1,18.7753508,-4.220503483,7.592454713,5.318610524,-7.983085466,2.883499219,4.104001661,-.199360031,-9.676011556,-1.843303766,-11.46202674,.921895428,-.02390537,4.870997536,6.525579635,6.491425565,4.86228772,7.533460971,4.216251383,-2.744038109,.113439413,6.160503139,-.846225861,-3.74978257,.771241066,-1.613596554,-2.343756124,.044379361,3.3196833,-3.442623626,-5.591371837,-2.384152012,-1.436727695,-2.606448508,2.315107719,1.352824207,-.817353315,-3.473959873,1.929645282,2.421211528,-2.112079983,.711041371,-3.415616188,2.470412318,1.70813294,3.21883785,2.112161698,.141672412,2.878779976,2.094705158,-4.252734134,-.370593689
1,-18.33950673,10.53391568,-28.17902619,-14.96596938,11.32398314,-6.53762339,1.109346596,7.48268758,-3.188324894,4.445270872,-11.27481524,3.354879628,7.295945007,14.53968397,-3.454328835,-5.896270149,-4.374055816,-4.121859638,-6.614593073,-.498020044,-1.351347503,-3.432874955,1.909401627,1.0394225,-4.214721713,2.132093805,-1.227902671,3.367458429,-1.605671648,1.590158422,-1.680340692,3.56708658,-3.090775872,-3.643243577,-4.169729909,-.751419898,-2.431549723,-3.637235174,1.641929025,-.747290945,-2.349955139,-.102625897,-.83108046,.976951292,-1.295302619,.06968312,1.175592763,1.677789273,-1.570083091,-.311480814,-3.19166683,-.857493308
0,11.96003439,-7.545558659,18.02671722,3.616053178,-18.02678636,15.41636943,5.81297687,8.453408511,-.074656711,2.829561467,1.22997309,1.550934345,10.16475066,-5.212092249,7.335398003,-2.197720865,1.223856495,-3.81837395,4.558603705,-.635582077,2.156672268,2.602754874,-.617394808,-.435797851,-5.747867291,-3.461496092,2.306641932,-3.474752391,-.182890021,-2.025278112,1.278739005,-1.463591931,1.894691035,-6.376549155,.822444887,-3.151222602,-2.548919459,.714946235,3.27278828,.077747189,-.74716216,1.616512066,-.803408695,-2.186697431,-2.802330157,1.582040706,-.162747753,3.82189129,-3.085014001,-1.37520755,4.149231068,-2.121087152
0,14.0017808,20.14884852,14.2688085,-20.16240026,2.993307908,6.580288808,6.441183629,12.11470992,2.910149798,11.16119806,2.186902041,2.788206358,8.440426215,-1.462973574,.189478921,7.838918301,3.979574347,-2.119640044,-5.832425765,-.64656756,-4.856260257,-8.778238561,5.071110531,-1.233796452,-1.262538499,3.904012624,1.251241196,-.427466251,-5.706298502,-4.66291285,.629260616,2.006360768,-.801401812,.746794343,-2.28427174,2.640833145,1.830652759,-1.989025926,.889333961,1.698119215,-5.0253589,-1.976412804,2.63018009,.063508917,2.097044063,-1.172997124,-1.044216595,-.438961751,-.755561941,-6.412326495,1.625081669,.68883668
1,-19.69261482,3.476298607,-8.607542253,-5.88106707,-11.49002193,7.832787623,3.413844782,-1.852078936,2.397832772,1.093161571,-.325071461,2.389222453,7.39589261,-1.962628437,-.74869955,1.608158949,.715787678,7.143464283,-7.246210089,-2.193154389,2.056246914,9.059871228,-4.259311735,3.983856148,.964145576,.326378634,-5.356970834,1.627564804,4.668034876,.716429045,.211068184,-3.450399988,2.955669022,-1.398334749,-2.05044143,3.134040188,-4.521806958,.304830278,2.903107862,1.019383961,1.340883586,-2.087953432,1.847318809,-2.087414882,-.367572296,1.132626645,-3.699675339,-.237341854,1.730766734,-2.230268493,-.082904756,-2.127038807
0,-66.73878215,15.67797782,-12.04259993,-.042819146,-12.9659099,.195742661,21.81187164,-3.226729135,-11.11820046,.172464121,-.703464754,2.05925259,7.487364353,-9.526971314,-3.172531194,-9.805491048,-10.41296479,4.434125941,-2.049361352,-2.947114437,-3.918737159,-3.383545537,-2.721620085,-6.350247854,-3.150263989,13.24419594,4.100847846,.672723964,-1.905722069,-.003661228,-.758164204,-.406037298,.905388699,3.543503658,5.530898329,-.039129847,.2313432,-.494895479,10.21922021,1.305623902,-2.768012893,-6.932536003,1.81523338,5.914052656,3.753325439,-3.967142728,2.189890734,2.170064973,-.982450489,3.798916959,-.076592476,-.820454466
1,-53.88471015,1.522836091,5.954491772,-11.17748961,-14.85264595,-.941183607,13.99041459,-4.491355217,.761057361,-.294721275,-7.818874927,1.579161535,-3.340730174,1.321982729,-5.367636449,3.014235031,.788681905,1.004414267,-1.55665698,-1.167824611,4.435215818,4.652641511,1.737994834,1.042053011,-3.016463293,-5.521325984,1.2864645,-1.228068544,-2.349502081,-.855421571,-.667815553,-2.340797253,.583455614,-3.400692367,-.898424058,-.459539222,-2.85797231,-.20738064,-3.438510535,2.044526878,-3.279589267,2.591913795,-.672085737,-2.356366107,1.253644507,-.872657968,1.333102349,.352116337,-1.722494588,-5.503282875,-2.197294763,-3.713124683
1,-10.81490119,92.12596532,11.87626293,10.11396626,11.64781159,15.45150308,-12.62262056,8.300046262,-.744748036,-7.492357862,-23.57345496,-3.521444982,-12.78997865,-10.86061873,-1.841583302,-1.061139232,-.782650399,1.759769552,2.327378674,4.303918201,-1.096685651,-1.636088606,-6.377777595,-1.486725213,2.884968724,-3.652152144,7.947827406,-1.435181628,2.930297488,7.362676653,-2.762238243,2.582021674,-1.638371635,-3.018881661,-5.797774962,5.016773242,1.180571824,.687836606,.583408913,3.635374393,-.887524178,1.764479523,-2.207044833,-1.532243013,-2.16220611,1.233625342,1.62688961,4.878721784,.762661116,3.698869633,-2.325330295,.240376838
